"Line","File","Message"
"126","/var/lib/jenkins/workspace/pipelineCFromGitHub/src/core/ext/filters/client_channel/client_channel.cc","warning: Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)"
"175","/var/lib/jenkins/workspace/pipelineCFromGitHub/src/core/ext/filters/client_channel/client_channel.cc","warning: Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)"
"182","/var/lib/jenkins/workspace/pipelineCFromGitHub/src/core/ext/filters/client_channel/client_channel.cc","warning: Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)"
"186","/var/lib/jenkins/workspace/pipelineCFromGitHub/src/core/ext/filters/client_channel/client_channel.cc","warning: Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)"
"410","/var/lib/jenkins/workspace/pipelineCFromGitHub/src/core/ext/filters/client_channel/client_channel.cc","warning: Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'"
"486","/var/lib/jenkins/workspace/pipelineCFromGitHub/src/core/ext/filters/client_channel/client_channel.cc","warning: Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'"
"498","/var/lib/jenkins/workspace/pipelineCFromGitHub/src/core/ext/filters/client_channel/client_channel.cc","warning: Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'"
"515","/var/lib/jenkins/workspace/pipelineCFromGitHub/src/core/ext/filters/client_channel/client_channel.cc","warning: Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'"
"594","/var/lib/jenkins/workspace/pipelineCFromGitHub/src/core/ext/filters/client_channel/client_channel.cc","warning: Found ')' without opening '(' for trailing return type ' -> chand_->work_serializer_)...'"
"803","/var/lib/jenkins/workspace/pipelineCFromGitHub/src/core/ext/filters/client_channel/client_channel.cc","warning: Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'"
"833","/var/lib/jenkins/workspace/pipelineCFromGitHub/src/core/ext/filters/client_channel/client_channel.cc","warning: Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'"
"862","/var/lib/jenkins/workspace/pipelineCFromGitHub/src/core/ext/filters/client_channel/client_channel.cc","warning: Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'"
"888","/var/lib/jenkins/workspace/pipelineCFromGitHub/src/core/ext/filters/client_channel/client_channel.cc","warning: Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'"
"906","/var/lib/jenkins/workspace/pipelineCFromGitHub/src/core/ext/filters/client_channel/client_channel.cc","warning: Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'"
"923","/var/lib/jenkins/workspace/pipelineCFromGitHub/src/core/ext/filters/client_channel/client_channel.cc","warning: Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'"
"211","/var/lib/jenkins/workspace/pipelineCFromGitHub/src/core/ext/filters/client_channel/client_channel.h","warning: Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'"
"213","/var/lib/jenkins/workspace/pipelineCFromGitHub/src/core/ext/filters/client_channel/client_channel.h","warning: Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'"
"430","/var/lib/jenkins/workspace/pipelineCFromGitHub/src/core/ext/filters/client_channel/client_channel.h","warning: Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)"
"485","/var/lib/jenkins/workspace/pipelineCFromGitHub/src/core/ext/filters/client_channel/client_channel.h","warning: Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)"
"488","/var/lib/jenkins/workspace/pipelineCFromGitHub/src/core/ext/filters/client_channel/client_channel.h","warning: Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)"
"301","/var/lib/jenkins/workspace/pipelineCFromGitHub/src/core/ext/filters/client_channel/lb_policy/rls/rls.cc","warning: Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)"
"302","/var/lib/jenkins/workspace/pipelineCFromGitHub/src/core/ext/filters/client_channel/lb_policy/rls/rls.cc","warning: Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)"
"502","/var/lib/jenkins/workspace/pipelineCFromGitHub/src/core/ext/filters/client_channel/lb_policy/rls/rls.cc","warning: Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)"
"510","/var/lib/jenkins/workspace/pipelineCFromGitHub/src/core/ext/filters/client_channel/lb_policy/rls/rls.cc","warning: Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)"
